order_id,order_date,customer_id,segment,category,sub_category,sales,quantity,profit
CA-2016-152156,11/8/2016,CG-12520,Consumer,Furniture,Bookcases,261.96,2,"419.136,00"
CA-2016-152156,11/8/2016,CG-12520,Consumer,Furniture,Chairs,731.94,3,"219.582,00"
CA-2016-138688,6/12/2016,DV-13045,Corporate,Office Supplies,Labels,14.62,2,"2.488.915,00"
US-2015-108966,10/11/2015,SO-20335,Consumer,Furniture,Tables,"9.575.775,00",5,"-383.031,00"
US-2015-108966,10/11/2015,SO-20335,Consumer,Office Supplies,Storage,"22.368,00",2,"1.192.184,00"
CA-2014-115812,6/9/2014,BH-11710,Consumer,Furniture,Furnishings,48.86,7,"141.694,00"
CA-2014-115812,6/9/2014,BH-11710,Consumer,Office Supplies,Art,7.28,4,"2.832.823,00"
CA-2014-115812,6/9/2014,BH-11710,Consumer,Technology,Phones,"907.152,00",6,"907.152,00"
CA-2014-115812,6/9/2014,BH-11710,Consumer,Office Supplies,Binders,"18.504,00",3,"2.164.184,00"
CA-2014-115812,6/9/2014,BH-11710,Consumer,Office Supplies,Appliances,114.9,5,34.47
CA-2014-115812,6/9/2014,BH-11710,Consumer,Furniture,Tables,"1.706.184,00",9,"853.092,00"
CA-2014-115812,6/9/2014,BH-11710,Consumer,Technology,Phones,"911.424,00",4,"683.568,00"
CA-2017-114412,4/15/2017,AA-10480,Consumer,Office Supplies,Paper,"15.552,00",3,"924.917,00"
CA-2016-161389,12/5/2016,IM-15070,Consumer,Office Supplies,Binders,"407.976,00",3,"1.325.922,00"
US-2015-118983,11/22/2015,HP-14815,Home Office,Office Supplies,Appliances,68.81,5,"-123.858,00"
US-2015-118983,11/22/2015,HP-14815,Home Office,Office Supplies,Binders,"2.544,00",3,"-3.816,00"
CA-2014-105893,11/11/2014,PK-19075,Consumer,Office Supplies,Storage,665.88,6,"133.176,00"
CA-2014-167164,5/13/2014,AG-10270,Consumer,Office Supplies,Storage,55.5,2,9.99
CA-2014-143336,8/27/2014,ZD-21925,Consumer,Office Supplies,Art,8.56,2,"1.068.002,00"
CA-2014-143336,8/27/2014,ZD-21925,Consumer,Technology,Phones,213.48,3,"16.011,00"
CA-2014-143336,8/27/2014,ZD-21925,Consumer,Office Supplies,Binders,22.72,4,"7.384,00"
CA-2016-137330,12/9/2016,KB-16585,Corporate,Office Supplies,Art,19.46,7,"-476.153,00"
CA-2016-137330,12/9/2016,KB-16585,Corporate,Office Supplies,Appliances,60.34,7,"156.884,00"
US-2017-156909,7/16/2017,SF-20065,Consumer,Furniture,Chairs,"71.372,00",2,"-10.196,00"
CA-2015-106320,9/25/2015,EB-13870,Consumer,Furniture,Tables,1044.63,3,"2.402.649,00"
CA-2016-121755,1/16/2016,EH-13945,Consumer,Office Supplies,Binders,"11.648,00",2,"118.431,00"
CA-2016-121755,1/16/2016,EH-13945,Consumer,Technology,Accessories,90.57,3,"2.133.688,00"
US-2015-150630,9/17/2015,TB-21520,Consumer,Furniture,Bookcases,3083.43,7,"-16.650.522,00"
US-2015-150630,9/17/2015,TB-21520,Consumer,Office Supplies,Binders,"9.618,00",2,"-70.532,00"
US-2015-150630,9/17/2015,TB-21520,Consumer,Furniture,Furnishings,124.2,3,"15.525,00"
US-2015-150630,9/17/2015,TB-21520,Consumer,Office Supplies,Envelopes,"3.264,00",2,"-322.873,00"
US-2015-150630,9/17/2015,TB-21520,Consumer,Office Supplies,Art,"86.304,00",6,"1.896.585,00"
US-2015-150630,9/17/2015,TB-21520,Consumer,Office Supplies,Binders,"6.858,00",6,"-5.715,00"
US-2015-150630,9/17/2015,TB-21520,Consumer,Office Supplies,Art,15.76,2,"3.546,00"
CA-2017-107727,10/19/2017,MA-17560,Home Office,Office Supplies,Paper,"29.472,00",3,"2.764.401,00"
CA-2016-117590,12/8/2016,GH-14485,Corporate,Technology,Phones,"1.097.544,00",7,"1.234.737,00"
CA-2016-117590,12/8/2016,GH-14485,Corporate,Furniture,Furnishings,190.92,5,"-147.963,00"
CA-2015-117415,12/27/2015,SN-20710,Home Office,Office Supplies,Envelopes,"113.328,00",9,"35.415,00"
CA-2015-117415,12/27/2015,SN-20710,Home Office,Furniture,Bookcases,"5.323.992,00",3,"-469.764,00"
CA-2015-117415,12/27/2015,SN-20710,Home Office,Furniture,Chairs,"212.058,00",3,"-15.147,00"
CA-2015-117415,12/27/2015,SN-20710,Home Office,Technology,Phones,"371.168,00",4,"417.564,00"
CA-2017-120999,9/10/2017,LC-16930,Corporate,Technology,Phones,"147.168,00",4,"165.564,00"
CA-2016-101343,7/17/2016,RA-19885,Corporate,Office Supplies,Storage,77.88,2,"3.894,00"
CA-2017-139619,9/19/2017,ES-14080,Corporate,Office Supplies,Storage,"95.616,00",2,"1.357.487,00"
CA-2016-118255,3/11/2016,ON-18715,Corporate,Technology,Accessories,45.98,2,"197.714,00"
CA-2016-118255,3/11/2016,ON-18715,Corporate,Office Supplies,Binders,17.46,2,"59.384,00"
CA-2014-146703,10/20/2014,PO-18865,Consumer,Office Supplies,Storage,211.96,4,"1.053.574,00"
CA-2016-169194,6/20/2016,LH-16900,Consumer,Technology,Accessories,"45,00",3,4.95
CA-2016-169194,6/20/2016,LH-16900,Consumer,Technology,Phones,"44.429,00",2,"6.104,00"
CA-2015-115742,4/18/2015,DP-13000,Consumer,Office Supplies,Binders,38.22,6,"179.634,00"
