sales,quantity,profit,label
261.96,2,41.9136,0
731.94,3,219.582,1
14.62,2,6.8714,0
957.5775,5,-383.031,1
22.368000000000002,2,2.5164,0
48.86,7,14.1694,0
7.28,4,1.9656,0
907.1519999999999,6,90.7152,1
18.504,3,5.7825,0
114.9,5,34.47,0
1706.184,9,85.3092,1
911.424,4,68.3568,1
15.552,3,5.4432,0
407.976,3,132.5922,0
68.81,5,-123.85799999999999,0
2.544,3,-3.8160000000000003,0
665.88,6,13.3176,1
55.5,2,9.99,0
8.56,2,2.4824,0
213.48,3,16.011,0
22.72,4,7.3839999999999995,0
19.46,7,5.0596,0
60.34,7,15.6884,0
71.372,2,-1.0196,0
1044.63,3,240.2649,1
11.648,2,4.2224,0
90.57,3,11.7741,0
3083.43,7,-1665.0522,2
9.618,2,-7.0532,0
124.2,3,15.525,0
3.264,2,1.1016,0
86.304,6,9.7092,0
6.858,6,-5.715,0
15.76,2,3.5460000000000003,0
29.471999999999998,3,9.9468,0
1097.5439999999999,7,123.4737,1
190.92,5,-147.963,0
113.32799999999999,9,35.415,0
532.3992,3,-46.9764,0
212.058,3,-15.147,0
371.168,4,41.7564,0
147.168,4,16.5564,0
77.88,2,3.8939999999999997,0
95.616,2,9.5616,0
45.98,2,19.7714,0
17.46,2,8.2062,0
211.96,4,8.4784,0
45.0,3,4.95,0
21.8,2,6.104,0
38.22,6,17.9634,0
75.18,6,35.3346,0
6.16,2,2.9568,0
89.99,1,17.0981,0
15.26,7,6.2566,0
1029.95,5,298.6855,1
208.56,6,52.14,0
32.4,5,15.552,0
319.41,5,7.098,0
14.56,2,6.9888,0
30.0,2,3.3,0
48.48,4,16.362000000000002,0
1.68,1,0.84,0
13.98,2,6.1512,0
25.824,6,9.3612,0
146.73,3,68.9631,0
79.76,4,22.3328,0
213.115,5,-15.2225,0
1113.024,8,111.3024,1
167.968,4,62.988,0
75.88,2,35.6636,0
4.6160000000000005,1,1.7309999999999999,0
19.05,3,8.763,0
831.936,8,-114.3912,1
